no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277964385,537,9791196975258 ,혼자 여행을 다녀왔습니다 :마스다 미리 에세이,지은이: 마스다 미리 ;옮긴이: 이소담,"진솔함과 담백한 위트로 30대 여성의 고민과 일상을 그린 만화 '수짱' 시리즈를 통해 국내에 잘 알려진 마스다 미리. 혼자 여행을 다녀왔습니다에는 서른세 살 끝 무렵부터 서른일곱 살까지, 매달 혼자 다녀온 작가의 좌중우돌 여행기가 담겨 있다.",북포레스트,2021,https://image.aladin.co.kr/product/26307/93/cover/k812738105_1.jpg,2389,1,취미
277953593,660,9791156751069 ,달님의 산책,김삼현 글·그림,"푸른숲 그림책 27권. 우리 아이들이 해가 지고 난 뒤, 까만 하늘 위로 두둥실 떠오른 달님과 함께 떠나는 상상 여행을 그림책으로 담아냈다. 저녁 무렵에 어슬렁어슬렁 산책을 나온 달님의 이야기를 통해서, 아이들은 여러 동물들을 만나 즐겁게 뛰어다니며 한껏 놀게 된다.",푸른숲,2016,http://image.aladin.co.kr/product/9007/19/cover/k222535901_1.jpg,2387,1,아동
277949186,409,9788958856399 ,의사소통 수단 :봉화에서 스마트폰까지,글: 고승현 ;그림: 플러그,의사소통이 잘 안 될 때 일어날 수 있는 일들은 무엇일까요?  구름 한 점 없이 맑은 토요일 아침. 민아네 가족들은 외할머니를 만나러 가는 날이에요. 민아를 너무 사랑했던 외할머니는 일 년 전에 돌아가셔서 지금은 ‘별이 된 사람들의 숲’에 있답니다. 외할머니가 살아 있을 때 아침마다 민아를 깨워주는 것은...,성우 주니어,[2017],https://image.aladin.co.kr/product/22869/36/cover/scm3187638567625.gif,1851,1,기타
277956245,477,9788901228891 ,우정 책,글: 박은정 ;그림: 남주현,"‘우정’과 친구 관계에 관한 다양한 상황에 대해 이야기하는 책이다. 새롭고 낯선 환경에 처해 친구가 없을 때의 감정, 그럴 땐 어떤 기분일까에 대한 이해, 우정은 영원할 수 있을까 하는 물음에 대한 신선한 답변 등 친구를 사귀며 한 번 정도는 생각해 봄 직한 이슈를 친절하게 다루었다.",웅진씽크빅,2019,https://image.aladin.co.kr/product/17976/65/cover/8901228890_1.jpg,2756,1,아동
277970793,74,9791190382267 ,마음챙김의 시,류시화 엮음,"시를 읽는 것은 자기 자신으로 돌아오는 것이고, 세상을 경이롭게 여기는 것이며, 여러 색의 감정을 경험하는 것이다. 살아온 날들이 살아갈 날들에게 묻는다. '마음챙김의 삶을 살고 있는가, 마음놓침의 시간을 보내고 있는가?’'사회적 거리두기와 삶에 대한 성찰이 어느 때보다 필요한 지금, 손 대신 시를...",수오서재,2020,https://image.aladin.co.kr/product/25108/7/cover/k842633074_1.jpg,3040,1,문학
277963477,707,9788925561820 ,가장 예쁜 생각을 너에게 주고 싶다,나태주 지음 ;강라은 그림,"'자세히 보아야 예쁘다 / 오래 보아야 사랑스럽다/너도 그렇다.' 시 '풀꽃'으로 많은 이들에게 사랑받는 시인 나태주. 그가 딸에게 주고 싶은 시 100편을 모아 시집을 냈다. 아버지로서 세상의 모든 딸들에게 들려주고픈 이야기, 딸을 향한 마음, 삶에 관한 조언을 담았다.",RHK(알에이치코리아),2017,http://image.aladin.co.kr/product/11067/22/cover/8925561824_1.jpg,1813,1,문학
277970443,605,9788978894555 ,한 평 반의 행복 :유선진 산문집,지은이: 유선진,"갈등과 불만의 대상이었지만 이제는 늙고 병들어 무력하고 초라해진 남편과 세상에 둘도 없이 고약했던 아내가 결혼 53년 만에 어떻게 완전 일체의 부부가 되어 사는지, 아슬아슬할 정도로 진솔하게 내보인 일상에 관한 이야기이다.",지성사,2020,https://image.aladin.co.kr/product/25870/96/cover/8978894550_1.jpg,1669,1,문학
277958417,485,9791158362089 ,바람숲 도서관,"최지혜,김유진 그림","그림책이 참 좋아 73권. 이른 아침, 강 건너 숲에 바람이 불어온다. 바람은 숲속을 휘휘 돌며 온 세상 이야기를 들려준다. 솔잎을 간질이며 소곤소곤, 도토리를 어르며 속살속살, 바람이 들려준 이야기는 책으로 피어나는데….",책읽는곰,2020,https://image.aladin.co.kr/product/25416/75/cover/k802633115_1.jpg,1689,1,아동
277959598,834,9788966351176 ,멋지다!,글: 쓰쓰이 도모미 ;옮김: 김숙,"각본가이며 소설가이기도 한 쓰쓰이 도모미의 글에 요시타케 신스케의 그림이 어우러져 만들어낸 아이들의 자긍심을 높여주는 책이다. 연작 형식을 취해, 매사를 부정적으로 바라보지 않고 긍정적으로 받아들이는 아이들의 이야기 20편이 담겨 있다.",북뱅크,2020,https://image.aladin.co.kr/product/24430/95/cover/8966351174_1.jpg,2091,1,아동
277961933,161,9791160946789 ,"오, 사랑 :조우리 장편소설",지은이: 조우리,"제18회 사계절문학상 대상 수상작으로, 사랑이라는 뜨겁고 순수한 감정을 잘 표현한 작품이자, 자신을 긍정적으로 받아들이고 자기 자신을 사랑하는 방법을 찾아 나가는 두 소녀의 성장소설이다.",사계절(사계절출판사),2020,https://image.aladin.co.kr/product/24864/9/cover/k342631459_1.jpg,1841,1,청소년
277958678,761,9788949110394 ,구름 나라,존 버닝햄 글.그림;고승희 옮김,뭉게구름을 타고 노는 어린시절의 꿈을 재미있는 그림으로 표현했다. 부모님과 함께 산에 올라간 앨버트는 내려오다가 벼랑에서 떨어지고 만다. 구름나라 아이들에게 구출된 앨버트는 구름을 타고 재미있게 논다.,비룡소,1997,http://image.aladin.co.kr/product/1/61/cover/8949110393_2.jpg,2054,1,아동
277961516,577,9788934972204 ,여름은 오래 그곳에 남아,지은이: 마쓰이에 마사시 ;옮긴이: 김춘미,1982년 일본의 고급 별장지 가루이자와. ‘무라이 건축 설계 사무소‘는 여름 한철을 그곳 아사마 산 자락의 별장에서 보낸다. 삶과 맞닿은 건축을 꿈꾸는 사람들과 언제까지고 계속되었으면 했던 그 여름의 고아했던 나날. 이윽고 국립현대도서관 설계 경합을 앞두고 뜨거운 분투가 시작되는데.,비채,2016,http://image.aladin.co.kr/product/7492/9/cover/8934972203_1.jpg,1481,2,문학
277965683,931,9788925589787 ,문해력 공부 :혼란한 세상에 맞설 내공,김종원 지음,"잘못된 언어 사이에서 살아남는 방법, 의도를 몰랐던 말의 맥락들을 파악하는 방법, 다르게 읽는 방법 그리고 문해력을 자신의 경쟁력을 만드는 방법 등을 다루었다. 읽고 알아가는 발견의 기쁨을 오롯이 나타내는 이 책은, 일러스트로 세상에 전하고 싶은 메시지를 표현한 문해력의 대가 피에르 르탱Pierre Le-Tan의 일러스트가 어우러져 소장 가치를 더한다.",RHK(알에이치코리아),2020,https://image.aladin.co.kr/product/25506/79/cover/8925589788_1.jpg,1343,2,교육
277972361,359,9788972596363 ,리디아의 정원,데이비드 스몰 그림;이복희 옮김,리디아는 아버지의 실직과 가난으로 부모와 떨어져 대도시의 외삼촌 집에서 더부살이를 하게 된다.역경 속 에서 도 순수한 마음과 희망을 잃지 않는 주인공을 통해 교훈을 주는 동화책이다.,시공사,1998,http://image.aladin.co.kr/product/4328/8/cover/scm122923127091.jpg,1355,2,문학
277971661,792,9788946417045 ,인연,피천득 지음,"수필'하면 떠오르는 이름인 금아 피천득 선생의 인연. 교과서에도 실렸던 아사꼬와의 이야기 '인연'부터, '수필은 청자 연적이다...'로 시작하는 '수필', '내가 늙고 서영이가 크면 눈 내리는 서울 거리를 같이 걷고 싶다'로 끝나는 '나의 사랑하는 생활'까지. 이 단아하고 정결한 문체의 수필 80여 편 중 단 한 편이라도 읽어보지 못한 사람이 있을까. '수필'이란 것이 자꾸만 잡문으로 여겨져 한옆으로 치워지는 세상에서 다시 읽는 인연은 교과서를 통해 읽는 것보다 훨씬 아름답다.",샘터,2007,http://image.aladin.co.kr/product/103/55/cover/8946417048_1.jpg,1198,2,문학
277963037,195,9791190299145 ,그렇게 말해줘서 고마워 :나를 지키고 관계를 지키는 일상의 단단한 언어들,지은이: 김유진 ;일러스트: 하효정,"수많은 인간관계 속에서 수많은 말들로부터 내 마음을 지키고 관계도 지킬 방법은 없을까? 그러기 위해서는 일상에서 좋은 대화를 계속해나가야 한다. 이 책은 일상에서 좋은 대화를 나누는 여러 가지 방법, 특히 말로 나를 돌보면서 관계에도 도움이 되는 다양한 상황과 솔루션을 담았다.",Fika,2020,https://image.aladin.co.kr/product/25317/13/cover/k602633404_1.jpg,1388,2,문학
277968253,527,9791190473552 ,나를 바꾼 기록 생활 :신미경 에세이,지은이: 신미경,더 나은 일상과 실천에 대해 글을 쓰는 미니멀리스트 신미경 작가. 전작 뿌리가 튼튼한 사람이 되고 싶어와 혼자의 가정식을 통해 단단한 삶에 대해 이야기한 그녀가 이번엔 자신의 '기록 생활'을 책 속에 담았다.,새움출판사,2021,https://image.aladin.co.kr/product/26315/4/cover/k382738822_2.jpg,907,2,문학
277948518,556,9788950981525 ,"어피치, 마음에도 엉덩이가 필요해",서귤 지음,"카카오프렌즈의 귀여운 악동 어피치와울리다 웃기기 전문 악동 작가 서귤이 만났다!마음이 꽈당, 넘어져도 괜찮아마음에도 엉덩이가 있으니까!엉뚱 발랄 귀여운 악동 어피치와작가 서귤이 전하는 위로와 응원의 메시지“살아남는 건 우리의 찬란한 재능. 마르지 말자. 바스러지지 말자.” 친구가 무심코...",Arte(아르테),2019,https://image.aladin.co.kr/product/19453/62/cover/8950981521_1.jpg,1353,2,문학
277962420,455,9788965702917 ,너에게 하고 싶은 말,김수민 글 ;정마린 그림,"마음이 지쳤을 때, 하염없이 울고 싶을 때, 사람에게 상처받았을 때, 자꾸만 결심이 무너질 때, 당신에게 보내는 가슴 뭉클한 위로를 담은 책. 상처받은 영혼에 따끔한 말 한마디보다 따뜻한 위로로 기운을 먼저 북돋아주는 책이다.",쌤앤파커스,2015,http://image.aladin.co.kr/product/7143/77/cover/8965702917_2.jpg,1264,2,문학
277967055,332,9791160946918 ,어린이라는 세계 :김소영 에세이,지은이: 김소영,"10년 남짓 어린이책 편집자로 일했고, 지금은 독서교실에서 어린이들과 책을 읽는 저자는 어린이의 존재를 더 잘 보이게 하기 위해 부지런히 글을 쓰고 목소리를 내 왔다. 이 책에는 저자가 어린이들과 만나며 발견한, 작고 약한 존재들이 분주하게 배우고 익히며 자라나는 세계가 담겨 있다.",사계절(사계절출판사),2020,https://image.aladin.co.kr/product/25509/75/cover/k132633125_1.jpg,1245,2,문학
277961752,58,9788936434427 ,유원 :백온유 장편소설,지은이: 백온유,진심을 눌러 담은 목소리로 우리에게 새로운 희망을 건네는 백온유 장편소설. 십여 년 전 비극적인 화재 사건에서 살아남은 열여덟 살 주인공 '유원'의 이야기를 그렸다. 무거웠던 마음에서 벗어나 날아오르는 모든 이를 위한 성장소설이다.,창비,2020,https://image.aladin.co.kr/product/24319/41/cover/893643442x_1.jpg,1407,2,문학
277963668,707,9788937461613 ,욕망이라는 이름의 전차,테네시 윌리엄스 [지음];김소임 옮김,"1950년대, 1960년대 미국인들의 자화상을 실감나게 그렸던 극작가 테네시 윌리암스의 1947년 작. 몰락한 남부 귀족 가문의 블랑시 두보아를 주인공으로, 환상과 현실 사이에서 갈피를 잡지 못하는 인물과 현실에 철저하게 적응해 동물적으로까지 보이는 인물 간의 극단적인 대립을 상징적인 무대장치와 시적인 대사를 통해 감각적으로 보여준다. 퓰리처상, 뉴욕 극비평가상 수상작.",민음사,2007,https://image.aladin.co.kr/product/101/32/cover/8937461617_2.jpg,803,3,문학
277961001,192,9788950979959 ,이토록 아름다운 수학이라면 :내 인생의 χ값을 찾아줄 감동의 수학 강의,최영기 지음,"서가명강 3권. 서울대 수학교육과 최영기 교수가 수학의 아름다움에 대한 깊고 넓은 단상을 편안한 언어로 풀어낸 대중교양서다. 저자는 수학이 단순한 계산의 반복, 복잡한 수식을 풀어내는 지겨운 과정이 전부라는 편견을 깨고자 이 책에서 수학의 정신과 그 가치에 대해 설명하고자 노력했다.",21세기북스(북이십일 21세기북스),2019,https://image.aladin.co.kr/product/18617/97/cover/8950979950_1.jpg,800,3,학문
277970142,345,9791197035258 ,읽기만 하면 내 것이 되는 1페이지 미술365,김영숙 지음,"매일 1페이지씩, 세계 명화 365점과 함께 미술의 모든 지식을 단 한 권으로 만날 수 있는 책이다. 월요일부터 일요일까지 명작, 미술사, 화가, 장르·기법, 미술로 보는 세계사, 스캔들·미스터리, 신화·종교 총 일곱 분야의 지식을 다루고 있어 꼭 알아야 할 미술 교양을 빠짐없이 쌓을 수 있다.",비에이블,2020,https://image.aladin.co.kr/product/25208/85/cover/k632633700_1.jpg,751,3,취미
277969244,382,9791190242769 ,돈의 물결 - 장이 무너져도 솟아날 종목은 있다,박제연 (지은이),"‘주린이’부터 ‘동학 개미’까지 개인투자자들이 모두 투자의 정도를 걸었으면 하는 마음을 담은 책 『돈의 물결』은 놓치기 쉬운 주식 기초부터 세상 물정이 시장에 끼치는 영향, 과거 경제 이슈들과 시장의 관계, 시장 불확실성 대책까지 4가지 대주제로 구성돼 있다.",베가북스,2021,https://image.aladin.co.kr/product/26646/24/cover/k792739237_1.jpg,744,3,학문
