no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277955606,558,9788956186412 ,잠잠깨비,글·그림: 이연실 ;빛그림: 김향수,"'반달 그림책' 1권. 잠잠깨비, 당당깨비, 쑥쑥깨비! 밤마다 아이 방에 찾아와 키를 키우는 깨비들이다. 깨비들은 아이들이 잠들었나 안 들었나 알 수 있는 소리통을 곁에 두고 잠을 잔다.",킨더랜드,2013,http://image.aladin.co.kr/product/3360/98/cover/8956186413_1.jpg,-29726,7,아동
277956621,477,9788970940540 ,손이 나왔네,하야시 아키코 글·그림 ;이영준 옮김,혼자 옷을 입어 보려 애쓰는 아이의 모습을 담은 생활 그림책. '내가 할 거야'라고 말하기 좋아하는 아이의 모습이 그대로 드러나 있다.,한림출판사,2004,https://bookthumb-phinf.pstatic.net/cover/001/757/00175726.jpg?type=m1&udate=20180619,-26570,7,아동
277968044,334,9788994780801 ,내 아이가 힘겨운 부모들에게,오은영 지음,"내 아이의 마음과 행동을 이해하고 싶고, 다가가고 싶고, 더 사랑해 주고 싶지만 뜻대로 되지 않아 어쩔 줄 몰라 하는 이 시대 모든 사춘기 아이의 부모들을 위한 책이다.",녹색지팡이&프레스,2015,http://image.aladin.co.kr/product/5443/71/cover/8994780807_2.jpg,-24242,7,가정
277954132,429,9788901052922 ,괜찮아,최숙희 지음,아이에게 놀림받았던 동물들은 아이에게 반문한다. '그럼 너는?' 잠시 당황한 아이가 생각에 잠긴다. 아이는 뭘 잘 할 수 있을까? 아이는 자기만이 할 수 있는 것을 생각해 낸다. 세상에서 가장 크게 웃을 수 있는 것! 그 건강한 웃음이 바로 아이의 가장 특별한 능력이자 자랑이다.,웅진씽크빅,2005,https://bookthumb-phinf.pstatic.net/cover/060/252/06025214.jpg?type=m1&udate=20160226,-23208,7,아동
277966258,535,9788992704526 ,수박만세,글 그림: 이선미,"글로연 그림책 10권. 아이는 삼킨 수박씨가 뱃속에서 자라날 것만 같다는 생각이 걱정으로 커지고 커져 잠을 이루지도 못한다. 그런데 그 순간, 아이의 입에서 싹이 돋아나고 쑥쑥 자라나 수박이 주렁주렁 열려버리는데….",글로연,2017,http://image.aladin.co.kr/product/10100/56/cover/8992704526_1.jpg,-19489,7,아동
277966060,366,9788901158655 ,가르치고 싶은 엄마 놀고 싶은 아이,오은영 지음,"내 아이에 대한 당혹스러운 첫 실망을 겪게 되는 유아기, 아이와의 본격적인 공부 전쟁에 돌입하는 초등기. 이 두 시기를 놓치면 아이 공부는 걷잡을 수 없이 꼬인다. 부모는 열심히 가르쳤는데 아이는 왜 공부를 못할까. 저자는 너무 많이, 너무 빨리 시켰기 때문이라고 말한다.",웅진씽크빅,2013,https://bookthumb-phinf.pstatic.net/cover/072/591/07259116.jpg?type=m1&udate=20170906,-17352,7,가정
277956671,477,9788993143942 ,오늘은 돈가스 카레라이스,오승민 (지은이),"산만한 아이, 사고뭉치, 말 안 듣는 아이로 여겨지는 진우의 이야기를 통해 ADHD를 가진 아이들을 이해하도록 돕는다. 그리고 스스로도 자신을 이해하지 못해 힘들어하는 아이들에게 넌 나쁜 아이가 아니라고, 조금 다를 뿐이라고 말해 준다.",한울림스페셜,2021,https://image.aladin.co.kr/product/26204/7/cover/8993143943_1.jpg,-17111,7,아동
277958276,485,9788943308612 ,뱀이 좋아,황숙경 지음,"보림창작그림책공모전 수상작 시리즈 15권. 어른들의 편견을 뛰어넘는 아이의 순수함을 담은 그림책이다. 부모는 뱀이 세상에서 가장 사나운 동물이라고 말하고, 아이는 뱀이 먼저 건드리지 않으면 물지 않는 순한 양이라고 말한다. 아이는 부모가 말한 내용을 하나씩 짚으면서 옳지 않다는 것을 들려준다. 제11회 보림창작그림책공모전에서 우수상을 받은 작품이다.",보림출판사,2011,http://image.aladin.co.kr/product/1138/20/cover/8943308612_1.jpg,-16890,7,아동
277944603,864,9788925569109 ,말투를 바꿨더니 아이가 공부를 시작합니다 :아이를 서울대에 보낸 부모가 20년간 정리한 공부자극 말습관,"정재영,이서진 지음",《왜 아이에게 그런 말을 했을까》로 큰 사랑을 받았던 저자가 지난 20년간 아이를 ‘열공’으로 이끈 말습관을 총정리했다. ‘아이에게 상처 주지 않으면서 성적을 올리는 부모의 말’이 주제다.,RHK(알에이치코리아),2020,https://image.aladin.co.kr/product/23451/86/cover/8925569108_1.jpg,-16719,7,가정
277942586,716,9788930259132 ,약간 세지 뭐,글: 남미영 ;그림: 김현,"꾸러기곰돌이 인성그림책 3권 '회복탄력성' 편. 이 책의 제목 약간 세지 뭐는 생쥐의 말로, 친구들의 문제해결을 도와준 원동력이기도 하다. 어른들만 문제를 해결하는 것이 아니라 어린 아이도 할 수 있다는 걸 작은 생쥐를 통해 보여 주고 있다.",예림당,2014,http://image.aladin.co.kr/product/3974/58/cover/8930259138_1.jpg,-16561,7,아동
