no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277955606,558,9790000000000 ,잠잠깨비,글·그림: 이연실 ;빛그림: 김향수,"반달 그림책' 1권. 잠잠깨비, 당당깨비, 쑥쑥깨비! 밤마다 아이 방에 찾아와 키를 키우는 깨비들이다. 깨비들은 아이들이 잠들었나 안 들었나 알 수 있는 소리통을 곁에 두고 잠을 잔다.",킨더랜드,2013,http://image.aladin.co.kr/product/3360/98/cover/8956186413_1.jpg,-29726,7,아동
277956621,477,9790000000000 ,손이 나왔네,하야시 아키코 글·그림 ;이영준 옮김,혼자 옷을 입어 보려 애쓰는 아이의 모습을 담은 생활 그림책. '내가 할 거야'라고 말하기 좋아하는 아이의 모습이 그대로 드러나 있다.,한림출판사,2004,https://bookthumb-phinf.pstatic.net/cover/001/757/00175726.jpg?type=m1&udate=20180619,-26570,7,아동
277968044,334,9790000000000 ,내 아이가 힘겨운 부모들에게,오은영 지음,"내 아이의 마음과 행동을 이해하고 싶고, 다가가고 싶고, 더 사랑해 주고 싶지만 뜻대로 되지 않아 어쩔 줄 몰라 하는 이 시대 모든 사춘기 아이의 부모들을 위한 책이다.",녹색지팡이&프레스,2015,http://image.aladin.co.kr/product/5443/71/cover/8994780807_2.jpg,-24242,7,가정
277954132,429,9790000000000 ,괜찮아,최숙희 지음,아이에게 놀림받았던 동물들은 아이에게 반문한다. '그럼 너는?' 잠시 당황한 아이가 생각에 잠긴다. 아이는 뭘 잘 할 수 있을까? 아이는 자기만이 할 수 있는 것을 생각해 낸다. 세상에서 가장 크게 웃을 수 있는 것! 그 건강한 웃음이 바로 아이의 가장 특별한 능력이자 자랑이다.,웅진씽크빅,2005,https://bookthumb-phinf.pstatic.net/cover/060/252/06025214.jpg?type=m1&udate=20160226,-23208,7,아동
277966258,535,9790000000000 ,수박만세,글 그림: 이선미,"글로연 그림책 10권. 아이는 삼킨 수박씨가 뱃속에서 자라날 것만 같다는 생각이 걱정으로 커지고 커져 잠을 이루지도 못한다. 그런데 그 순간, 아이의 입에서 싹이 돋아나고 쑥쑥 자라나 수박이 주렁주렁 열려버리는데….",글로연,2017,http://image.aladin.co.kr/product/10100/56/cover/8992704526_1.jpg,-19489,7,아동
277949847,78,9791186757703 ,엄마 심리 수업 2 : 실전편 - 아이를 살리는 엄마의 여섯 단어,윤우상 (지은이),"30년 경력의 정신건강의학과 전문의 윤우상 박사가 오랫동안 연구하고 혼신을 다해 집필한 이 책은 엄마들이 가장 자주 던지는 자녀 교육의 핵심 질문 에 시원하게 답해준다. 훈육, 공부, 자발성, 대화, 코칭이라는 여섯 가지 주제에 대한 엄마들의 궁금증을 싹 해소하고 자녀 교육의 기본 원칙과 철학을 알려준다.",심플라이프,2021,https://image.aladin.co.kr/product/27031/13/cover/k872730628_1.jpg,-974,6,가정
277970664,842,9788945119810 ,내게는 소리를 듣지 못하는 여동생이 있습니다,J.W. 피터슨 글씀;김서정 옮김,소리를 들을 수 없는 동생은 이상한 것이 아니라 특별할 뿐입니다. 가끔 우리는 '장애'라는 단어를 부족함이나 슬픔과 같은 뜻으로 받아들이곤 합니다. 그러나 이 책을 읽고 나면 이해할 수 있습니다. 장애를 가졌다는 것은 보통 사람과 다른 장점을 가졌다는 의미라는 것을.,중앙,2004,https://bookthumb-phinf.pstatic.net/cover/001/692/00169221.jpg?type=m1&udate=20130629,-973,6,아동
277964410,696,9788932035338 ,소년이로 :편혜영 소설집,지은이: 편혜영,"한국형 서스펜스의 최선두에서 끝없는 도약을 일궈온 편혜영의 소설집. 작가의 열번째 책이자 다섯번째 소설집으로, &lt;밤이 지나간다&gt;(2013) 이후 6년 만에 그간의 단편소설들을 묶었다.",문학과지성사,2019,https://image.aladin.co.kr/product/17915/75/cover/8932035334_1.jpg,-973,6,문학
277968855,143,9788750100377 ,"한국인의 맛 :짜장면부터 믹스커피까지, 한국사를 바꾼 아홉 가지 음식",정명섭 지음,"즉석카레부터 믹스커피에 이르기까지, 한국인들이 즐기는 음식들의 역사를 통해 한국인의 정체를 해명하고자 한 인문교양서. 근대에서 비롯된 음식들을 통해 우리가 전통이라고 알고 있는 입맛은 사실 최근에 길들여진 결과임을 밝힌다.",추수밭,2021,https://image.aladin.co.kr/product/26398/69/cover/k082738320_1.jpg,-973,6,기타
277971643,792,9788937429767 ,현대 생활의 발견,오노레 드 발자크 [지음] ;박아르마 옮김,"19세기 프랑스 사실주의 문학을 대표하는 작가이자 ‘현대 소설’의 창시자로 평가받는 대문호, 오노레 드 발자크의 섬세한 관찰력과 명쾌한 통찰력이 돋보이는 에세이 『현대 생활의 발견』이 민음사 쏜살 문고로 출간되었다.",민음사,2021,https://image.aladin.co.kr/product/26368/10/cover/8937429764_1.jpg,-970,6,문학
